"CA Owner","Certificate Name","Apple Status","Apple Trust Bits","Google Chrome Status","Microsoft Status","Microsoft EKUs For DTBs","Mozilla Status","Mozilla Trust Bits","SHA-256 Fingerprint"
"e-tugra","E-Tugra Certification Authority","Removed","","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites","B0BFD52BB0D7D9BD92BF5D4DC13DA255C02C542F378365EA893911F55E55F23C"
"E-Tugra","E-Tugra Global Root CA ECC v3","Not Included","","Included","Included","Server Authentication;Client Authentication;Code Signing","Included","Websites","873F4685FA7F563625252E6D36BCD7F16FC24951F264E47E1B954F4908CDCA13"
"E-Tugra","E-Tugra Global Root CA RSA v3","Not Included","","Included","Included","Server Authentication;Client Authentication;Code Signing","Included","Websites","EF66B0B10A3CDB9F2E3648C76BD2AF18EAD2BFE6F117655E28C4060DA1A3F4C2"
"Echoworx","Echoworx Root CA2","Blocked","","Not Included","Included","Client Authentication;Document Signing;Secure Email","Not Yet Included","","6639D13CAB85DF1AD9A23C443B3A60901E2B138D456FA71183578108884EC6BF"
"EDICOM","CAEDICOM Root","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","1501F89C5C4DCF36CF588A17C9FD7CFCEB9EE01E8729BE355E25DE80EB6284B4"
"eMudhra Technologies Limited","emSign ECC Root CA - C3","Not Included","","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Included","Websites;Email","BC4D809B15189D78DB3E1D8CF4F9726A795DA1643CA5F1358E1DDB0EDC0D7EB3"
"eMudhra Technologies Limited","emSign ECC Root CA - G3","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Included","Websites;Email","86A1ECBA089C4A8D3BBE2734C612BA341D813E043CF9E8A862CD5C57A36BBE6B"
"eMudhra Technologies Limited","emSign Root CA - C1","Not Included","","Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email","Included","Websites;Email","125609AA301DA0A249B97A8239CB6A34216F44DCAC9F3954B14292F2E8C8608F"
"eMudhra Technologies Limited","emSign Root CA - C2","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","46CD083B47E80402028DF493960EA19C85FE851950D5165F1C7DA4FAA951E2F8"
"eMudhra Technologies Limited","emSign Root CA - G1","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email","Included","Websites;Email","40F6AF0346A99AA1CD1D555A4E9CCE62C7F9634603EE406615833DC8C8D00367"
"eMudhra Technologies Limited","emSign Root CA - G2","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","1AA0C2709E831BD6E3B5129A00BA41F7EEEF020872F1E6504BF0F6C3F24F3AF3"
"Entrust","AffirmTrust Commercial","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites","0376AB1D54C5F9803CE4B2E201A0EE7EEF7B57B636E8A93C9B8D4860C96F5FA7"
"Entrust","AffirmTrust Networking","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites","0A81EC5A929777F145904AF38D5D509F66B5E2C58FCDB531058B0E17F3F0B41B"
"Entrust","AffirmTrust Premium","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites","70A73F7F376B60074248904534B11482D5BF0E698ECC498DF52577EBF2E93B9A"
"Entrust","AffirmTrust Premium ECC","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites","BD71FDF6DA97E4CF62D1647ADD2581B07D79ADF8397EB4ECBA9C5E8488821423"
"Entrust","Entrust Code Signing Root Certification Authority - CSBR1","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","B80847FDA453BF6ED876CA7BC046A2481909E15B6ED376E665E7AD09F3864E71"
"Entrust","Entrust Root Certification Authority","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;IP Security IKE Intermediate;Secure Email;Time Stamping","Included","Websites","73C176434F1BC6D5ADF45B0E76E727287C8DE57616C1E6E6141A2B2CBC7D8E4C"
"Entrust","Entrust Root Certification Authority - EC1","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites;Email","02ED0EB28C14DA45165C566791700D6451D7FB56F0B2AB1D3B8EB070E56EDFF5"
"Entrust","Entrust Root Certification Authority - G2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","43DF5774B03E7FEF5FE40D931A7BEDF1BB2E6B42738C4E6D3841103D3AA7F339"
"Entrust","Entrust Root Certification Authority - G4","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email;Time Stamping","Included","Websites;Email","DB3517D1F6732A2D5AB97C533EC70779EE3270A62FB4AC4238372460E6F01E88"
"Entrust","Entrust.net Certification Authority (2048)","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","6DC47172E01CBCB0BF62580D895FE2B8AC9AD4F873801E0C10B9C837D21EB177"
"Financijska agencija (Fina)","Fina Root CA","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Not Yet Included","","5AB4FCDB180B5B6AF0D262A2375A2C77D25602015D96648756611E2E78C53AD3"
"Global Digital Cybersecurity Authority Co., Ltd. (Formerly Guang Dong Certificate Authority (GDCA))","GDCA TrustAUTH R5 ROOT","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Included","Websites","BFFF8FD04433487D6A8AA60C1A29767A9FC2BBB05E420F713A13B992891D3893"
"GlobalSign nv-sa","GlobalSign","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","CBB522D7B7F127AD6A0113865BDF1CD4102E7D0759AF635A7CF4720DC963C53B"
"GlobalSign nv-sa","GlobalSign","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites;Email","179FBC148A3DD00FD24EA13458CC43BFA7F59C8182D783A513F6EBEC100C8924"
"GlobalSign nv-sa","GlobalSign","Not Included","","Included","Included","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","2CABEAFE37D06CA22ABA7391C0033D25982952C453647349763A3AB5AD6CCF69"
"GlobalSign nv-sa","GlobalSign Client Authentication Root E45","Not Included","","Not Included","Included","Client Authentication","Not Yet Included","","8B0F0FAA2C00FE0532A8A54E7BC5FD139C1922C4F10F0B16E10FB8BE1A634964"
"GlobalSign nv-sa","GlobalSign Client Authentication Root R45","Not Included","","Not Included","Included","Client Authentication","Not Yet Included","","165C7E810BD37C1D57CE9849ACCD500E5CB01EEA37DC550DB07E598AAD2474A8"
"GlobalSign nv-sa","GlobalSign Code Signing Root E45","Not Included","","Not Included","Included","Code Signing","Not Yet Included","","26C6C5FD4928FD57A8A4C5724FDD279745869C60C338E262FFE901C31BD1DB2B"
"GlobalSign nv-sa","GlobalSign Code Signing Root R45","Not Included","","Not Included","Included","Code Signing","Not Yet Included","","7B9D553E1C92CB6E8803E137F4F287D4363757F5D44B37D52F9FCA22FB97DF86"
"GlobalSign nv-sa","GlobalSign Document Signing Root E45","Not Included","","Not Included","Included","Document Signing","Not Yet Included","","F86973BDD0514735E10C1190D0345BF89C77E1C4ADBD3F65963B803FD3C9E1FF"
"GlobalSign nv-sa","GlobalSign Document Signing Root R45","Not Included","","Not Included","Included","Document Signing","Not Yet Included","","38BE6C7EEB4547D82B9287F243AF32A9DEEB5DC5C9A87A0056F938D91B456A5A"
"GlobalSign nv-sa","GlobalSign Root CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security IKE Intermediate;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","EBD41040E4BB3EC742C9E381D31EF2A41A48B6685C96E7CEF3C1DF6CD4331C99"
"GlobalSign nv-sa","GlobalSign Root E46","Not Included","","Included","Included","Server Authentication;Client Authentication","Included","Websites","CBB9C44D84B8043E1050EA31A69F514955D7BFD2E2C6B49301019AD61D9F5058"
"GlobalSign nv-sa","GlobalSign Root R46","Not Included","","Included","Included","Server Authentication;Client Authentication","Included","Websites","4FA3126D8D3A11D1C4855A4F807CBAD6CF919D3A5A88B03BEA2C6372D93C40C9"
"GlobalSign nv-sa","GlobalSign Secure Mail Root E45","Not Included","","Not Included","Included","Secure Email","Included","Email","5CBF6FB81FD417EA4128CD6F8172A3C9402094F74AB2ED3A06B4405D04F30B19"
"GlobalSign nv-sa","GlobalSign Secure Mail Root R45","Not Included","","Not Included","Included","Secure Email","Included","Email","319AF0A7729E6F89269C131EA6A3A16FCD86389FDCAB3C47A4A675C161A3F974"
"GlobalSign nv-sa","GlobalSign Timestamping Root R45","Not Included","","Not Included","Included","Time Stamping","Not Yet Included","","2BCBBFD66282C680491C8CD7735FDBBAB7A8079B127BEC60C535976834399AF7"
"GoDaddy","Go Daddy Class 2 CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email","Included","Websites;Email","C3846BF24B9E93CA64274C0EC67C1ECC5E024FFCACD2D74019350E81FE546AE4"
"GoDaddy","Go Daddy Root Certificate Authority - G2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites","45140B3247EB9CC8C5B4F0D7B53091F73292089E6E5A63E2749DD3ACA9198EDA"
"GoDaddy","Starfield Class 2 CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email","Included","Websites;Email","1465FA205397B876FAA6F0A9958E5590E40FCC7FAA4FB7C2C8677521FB5FB658"
"GoDaddy","Starfield Root Certificate Authority - G2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites","2CE1CB0BF9D2F9E102993FBE215152C3B2DD0CABDE1C68E5319B839154DBB7F5"
"Google Trust Services LLC","GlobalSign","Not Included","","Included","Not Included","","Included","Websites;Email","B085D70B964F191A73E4AF0D54AE7A0E07AAFDAF9B71DD0862138AB7325A24A2"
"Google Trust Services LLC","GlobalSign","Included","TLS Server;TLS Client;Email","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Removed","","BEC94911C2955676DB6C0A550986D76E3BA005667C442C9762B4FBB773DE228C"
"Google Trust Services LLC","GTS Root R1","Not Included","","Included","Not Included","","Included","Websites;Email","D947432ABDE7B7FA90FC2E6B59101B1280E0E1C7E4E40FA3C6887FFF57A7F4CF"
"Google Trust Services LLC","GTS Root R1","Included","TLS Server;TLS Client;Email","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Removed","","2A575471E31340BC21581CBD2CF13E158463203ECE94BCF9D3CC196BF09A5472"
"Google Trust Services LLC","GTS Root R2","Not Included","","Included","Not Included","","Included","Websites;Email","8D25CD97229DBF70356BDA4EB3CC734031E24CF00FAFCFD32DC76EB5841C7EA8"
"Google Trust Services LLC","GTS Root R2","Included","TLS Server;TLS Client;Email","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Removed","","C45D7BB08E6D67E62E4235110B564E5F78FD92EF058C840AEA4E6455D7585C60"
"Google Trust Services LLC","GTS Root R3","Not Included","","Included","Not Included","","Included","Websites;Email","34D8A73EE208D9BCDB0D956520934B4E40E69482596E8B6F73C8426B010A6F48"
"Google Trust Services LLC","GTS Root R3","Included","TLS Server;TLS Client;Email","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Removed","","15D5B8774619EA7D54CE1CA6D0B0C403E037A917F131E8A04E1E6B7A71BABCE5"
"Google Trust Services LLC","GTS Root R4","Not Included","","Included","Not Included","","Included","Websites;Email","349DFA4058C5E263123B398AE795573C4E1313C83FE68F93556CD5E8031B3C7D"
"Google Trust Services LLC","GTS Root R4","Included","TLS Server;TLS Client;Email","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Removed","","71CCA5391F9E794B04802530B363E121DA8A3043BB26662FEA4DCA7FC951A4BD"
"Government of Brazil, Instituto Nacional de Tecnologia da Informação (ITI)","Autoridade Certificadora Raiz Brasileira v1","Not Included","","Not Included","Included","Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Not Yet Included","","CBD8ED38D4A2D677D453D70DD8890AF4F6374CBA6299943F1AB3A6936C6FD795"
"Government of Brazil, Instituto Nacional de Tecnologia da Informação (ITI)","Autoridade Certificadora Raiz Brasileira v10","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing","Not Yet Included","","6E0BFF069A26994C15DE2C4888CC54AF84882E5495B7FBF66BE9CCFFEC7489F6"
"Government of Brazil, Instituto Nacional de Tecnologia da Informação (ITI)","Autoridade Certificadora Raiz Brasileira v2","Not Included","","Not Included","Included","Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Not Yet Included","","FB47D92A9909FD4FA9BEC02737543E1F3514CED747407A8D9CFA397B0915067C"
"Government of Brazil, Instituto Nacional de Tecnologia da Informação (ITI)","Autoridade Certificadora Raiz Brasileira v5","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","CAA53FC6091C6951887C976E378F6EF89AA6377C55D97B6475422B71ED7E9B17"
"Government of Finland, Population Register Centre’s (Väestörekisterikeskus, VRK)","DVV Gov. Root CA - G3 ECC","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","5546A52504FBA74F61FFD4890067529ADE3B9C9D07E502592831CCDA9B369FD3"
"Government of Finland, Population Register Centre’s (Väestörekisterikeskus, VRK)","DVV Gov. Root CA - G3 RSA","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","D3ED3FC40AD26B52E001E1E18F4B9449529DEB75A81D5EB680D7B62DB23BA96D"
"Government of Finland, Population Register Centre’s (Väestörekisterikeskus, VRK)","VRK Gov. Root CA","Included","TLS Server;TLS Client;Email","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","F008733EC500DC498763CC9264C6FCEA40EC22000E927D053CE9C90BFA046CB2"
"Government of Finland, Population Register Centre’s (Väestörekisterikeskus, VRK)","VRK Gov. Root CA - G2","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email","Not Yet Included","","34FF2A4409DC1383E9F8966E8ADFE5719EBA373FD0AD5E2F49F90EE07CF5D4C1"
"Government of Hong Kong (SAR), Hongkong Post, Certizen","Hongkong Post Root CA 1","Not Included","","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites","F9E67D336C51002AC054C632022D66DDA2E7E3FFF10AD061ED31D8BBB410CFB2"
"Government of Hong Kong (SAR), Hongkong Post, Certizen","Hongkong Post Root CA 2","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email","Not Yet Included","","3945E08A8D4A0554B7605A7B355B10188E3EF842C76A805C54E3657C4D041AAA"
"Government of Hong Kong (SAR), Hongkong Post, Certizen","Hongkong Post Root CA 3","Included","TLS Server;TLS Client","Included","Included","Server Authentication;Client Authentication","Included","Websites","5A2FC03F0C83B090BBFA40604B0988446C7636183DF9846E17101A447FB8EFD6"
"Government of India, Ministry of Communications & Information Technology, Controller of Certifying Authorities (CCA)","CCA India 2014","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","60109BC6C38328598A112C7A25E38B0F23E5A7511CB815FB64E0C4FF05DB7DF7"
"Government of India, Ministry of Communications & Information Technology, Controller of Certifying Authorities (CCA)","CCA India 2015 SPL","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","C34C5DF53080078FFE45B21A7F600469917204F4F0293F1D7209393E5265C04F"
"Government of India, Ministry of Communications & Information Technology, Controller of Certifying Authorities (CCA)","CCA India 2022","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","9A3FD3176798E842DDCB12C262F11CFACCA70A8B84C6EA6FDA30842A95A94CD8"
"Government of Korea, KLID","GPKIRootCA1","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email","Not Yet Included","","407C276BEAD2E4AF0661EF6697341DEC0A1F9434E4EAFB2D3D32A90549D9DE4A"
"Government of Lithuania, Registru Centras","RCSC RootCA","Not Included","","Not Included","NotBefore","","Not Yet Included","","7707BB2BE9F7CE057060B8308C3BC087B56529B3638EAF5B2A8049C8E15ED720"
"Government of Portugal, Sistema de Certificação Electrónica do Estado (SCEE) / Electronic Certification System of the State","ECRaizEstado","Not Included","","Not Included","NotBefore","","Not Yet Included","","488E134F30C5DB56B76473E608086842BF21AF8AB3CD7AC67EBDF125D531834E"
"Government of Saudi Arabia, NCDC","Saudi National Root CA","Not Included","","Not Included","Included","Client Authentication;Secure Email;Time Stamping","Not Yet Included","","34BB34E14FAED0D3392F2FC441C0ECD5FD88AD88118DF2D1BA76CDEC1EEA10B8"
"Government of South Africa, Post Office Trust Centre","SAPO Class 2 Root CA","Not Included","","Not Included","NotBefore","","Not Yet Included","","FD7CCA48B745213470F503EC6E969C447FC12D4DD5AA2A7CC6C3D5ABBD962B33"
"Government of South Africa, Post Office Trust Centre","SAPO Class 3 Root CA","Not Included","","Not Included","NotBefore","","Not Yet Included","","1A2512CDA6744ABEA11432A2FDC9F8C088DB5A98C89E13352574CDE4D9E80CDD"
"Government of South Africa, Post Office Trust Centre","SAPO Class 4 Root CA","Not Included","","Not Included","NotBefore","","Not Yet Included","","6ED99F7D1B562E464A032C861DBB4137805377FA7F5683F0D4DA992B41306A6C"
"Government of Spain, Autoritat de Certificació de la Comunitat Valenciana (ACCV)","ACCVRAIZ1","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email","Included","Websites;Email","9A6EC012E1A7DA9DBE34194D478AD7C0DB1822FB071DF12981496ED104384113"
"Government of Spain, Dirección General de la Policía – Ministerio del Interior – España.","AC RAIZ DNIE","Not Included","","Not Included","NotBefore","","Not Yet Included","","739710C5245E33EC8A243A1B20048FC9D5F4528599213845C164D004B8B667F9"
"Government of Spain, Fábrica Nacional de Moneda y Timbre (FNMT)","AC RAIZ FNMT-RCM SERVIDORES SEGUROS","Not Included","","Included","Included","Server Authentication","Included","Websites","554153B13D2CF9DDB753BFBE1A4E0AE08D0AA4187058FE60A2B862B2E4B87BCB"
"Government of Spain, Fábrica Nacional de Moneda y Timbre (FNMT)","Fabrica Nacional de Moneda y Timbre","Not Included","","Not Included","Included","Server Authentication;Secure Email","Not Yet Included","","62B9267266212832A8E22DAB933D91C7011274ACF71703F9CC97833751A6E94F"
"Government of Spain, Fábrica Nacional de Moneda y Timbre (FNMT)","FNMT-RCM - SHA256","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email;Time Stamping","Included","Websites","EBC5570C29018C4D67B1AA127BAF12F703B4611EBC17B7DAB5573894179B93FA"
"Government of Spain, Ministerio de Trabajo e Inmigración (MTIN)","AC1 RAIZ MTIN","Not Included","","Not Included","NotBefore","","Not Yet Included","","5B1D9D24DE0AFEA8B35BA04A1C3E25D0812CDF7C4625DE0A89AF9FE4BBD1BB15"
"Government of Sweden (Försäkringskassan)","Swedish Government Root Authority v3","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","Not Yet Included","","8F9ADB6D895DAB5ADF5C3D3FAB83927BE0FB64EF82485C62280D584E8BD55D22"
"Government of Taiwan, Government Root Certification Authority (GRCA)","Government Root Certification Authority - Taiwan","Not Included","","Not Included","NotBefore","","Removed","","7600295EEFE85B9E1FD624DB76062AAAAE59818A54D2774CD4C0B2C01131E1B3"
"Government of Taiwan, Government Root Certification Authority (GRCA)","Government Root Certification Authority 2 - Taiwan","Blocked","","Not Included","NotBefore","","Not Yet Included","","70B922BFDA0E3F4A342E4EE22D579AE598D071CC5EC9C30F123680340388AEA5"
"Government of The Netherlands, PKIoverheid (Logius)","Staat der Nederlanden EV Root CA","Included","TLS Server;TLS Client;Email","Removed","Included","Server Authentication;Client Authentication","Removed","","4D2491414CFE956746EC4CEFA6CF6F72E28A1329432F9D8A907AC4CB5DADC15A"
"Government of The Netherlands, PKIoverheid (Logius)","Staat der Nederlanden Root CA - G3","Blocked","","Not Included","Included","Client Authentication;Document Signing;IP Security Tunnel Termination;IP Security User;Secure Email","Included","Email","3C4FB0B95AB8B30032F432B86F535FE172C185D0FD39865837CF36187FA6F428"
"Government of Turkey, Kamu Sertifikasyon Merkezi (Kamu SM)","TUBITAK Kamu SM SSL Kok Sertifikasi - Surum 1","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication","Included","Websites","46EDC3689046D53A453FB3104AB80DCAEC658B2660EA1629DD7E867990648716"
"Government of Uruguay, Agency for E-Government and Information Society (AGESIC)","Autoridad Certificadora Raíz Nacional de Uruguay","Not Included","","Not Included","NotBefore","","Not Yet Included","","5533A0401F612C688EBCE5BF53F2EC14A734EB178BFAE00E50E85DAE6723078A"
"Halcom D.D.","Halcom Root Certificate Authority","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","Not Yet Included","","D7BA3F4FF8AD05633451470DDA3378A3491B90005E5C687D2B68D53647CFDD66"
"HARICA","HARICA Client ECC Root CA 2021","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email","Included","Email","8DD4B5373CB0DE36769C12339280D82746B3AA6CD426E797A31BABE4279CF00B"
"HARICA","HARICA Client RSA Root CA 2021","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email","Included","Email","1BE7ABE30686B16348AFD1C61B6866A0EA7F4821E67D5E8AF937CF8011BC750D"
"HARICA","HARICA Code Signing ECC Root CA 2021","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","794E774638CE7B3CF05EBC8967CF47315316C351DC26387476E0C099C2ED47CC"
"HARICA","HARICA Code Signing RSA Root CA 2021","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","C40EBDCD75A90E4B7496ABB23E789A48E33C03284F75D95130575AE6860AE13C"
"HARICA","HARICA TLS ECC Root CA 2021","Not Included","","Included","Included","Server Authentication;Client Authentication","Included","Websites","3F99CC474ACFCE4DFED58794665E478D1547739F2E780F1BB4CA9B133097D401"
"HARICA","HARICA TLS RSA Root CA 2021","Not Included","","Included","Included","Server Authentication;Client Authentication","Included","Websites","D95D0E8EDA79525BF9BEB11B14D2100D3294985F0C62D9FABD9CD999ECCB7B1D"
"HARICA","Hellenic Academic and Research Institutions ECC RootCA 2015","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email","Included","Websites;Email","44B545AA8A25E65A73CA15DC27FC36D24C1CB9953A066539B11582DC487B4833"
"HARICA","Hellenic Academic and Research Institutions RootCA 2011","Blocked","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email;Time Stamping","Removed","","BC104F15A48BE709DCA542A7E1D4B9DF6F054527E802EAA92D595444258AFE71"
"HARICA","Hellenic Academic and Research Institutions RootCA 2015","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Included","Websites;Email","A040929A02CE53B4ACF4F2FFC6981CE4496F755E6D45FE0B2A692BCD52523F36"
"IdenTrust Services, LLC","IdenTrust Commercial Root CA 1","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","5D56499BE4D2E08BCFCAD08A3E38723D50503BDE706948E42F55603019E528AE"
"IdenTrust Services, LLC","IdenTrust Public Sector Root CA 1","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email;Time Stamping","Included","Websites;Email","30D0895A9A448A262091635522D1F52010B5867ACAE12C78EF958FD4F4389F2F"
"Inera AB (SITHS)","SITHS Root CA v1","Not Included","","Not Included","NotBefore","","Not Yet Included","","FC50B26BDC4A8FDF1344CC80157AE13AC671E2706FACFC0605FE34E249EB72D6"
"Internet Security Research Group","ISRG Root X1","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication","Included","Websites","96BCEC06264976F37460779ACF28C5A7CFE8A3C0AAE11A8FFCEE05C0BDDF08C6"
"Internet Security Research Group","ISRG Root X2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication","Included","Websites","69729B8E15A86EFC177A57AFB7171DFC64ADD28C2FCA8CF1507E34453CCB1470"
"iTrusChina Co., Ltd.","vTrus ECC Root CA","Not Included","","Included","Not Included","","Included","Websites","30FBBA2C32238E2A98547AF97931E550428B9B3F1C8EEB6633DCFA86C5B27DD3"
"iTrusChina Co., Ltd.","vTrus Root CA","Not Included","","Included","Not Included","","Included","Websites","8A71DE6559336F426C26E53880D00D88A18DA4C6A91F0DCB6194E206C5C96387"
"Izenpe S.A.","Izenpe.com","Blocked","","Not Included","NotBefore","","Not Yet Included","","23804203CA45D8CDE716B8C13BF3B448457FA06CC10250997FA01458317C41E5"
"Izenpe S.A.","Izenpe.com","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication","Included","Websites","2530CC8E98321502BAD96F9B1FBA1B099E2D299E0F4548BB914F363BC0D4531F"
"Korea Information Security Agency (KISA)","KISA RootCA 1","Blocked","","Not Included","NotBefore","","Not Yet Included","","6FDB3F76C8B801A75338D8A50A7C02879F6198B57E594D318D3832900FEDCD79"
"Krajowa Izba Rozliczeniowa S.A. (KIR)","SZAFIR ROOT CA","Blocked","","Not Included","NotBefore","","Not Yet Included","","FABCF5197CDD7F458AC33832D3284021DB2425FD6BEA7A2E69B7486E8F51F9CC"
"Krajowa Izba Rozliczeniowa S.A. (KIR)","SZAFIR ROOT CA2","Not Included","","Included","Included","Server Authentication;Client Authentication;Secure Email","Included","Websites;Email","A1339D33281A0B56E557D3D32B1CE7F9367EB094BD5FA72A7E5004C8DED7CAFE"
"LAWtrust","LAWtrust Root Certification Authority 2048","Not Included","","Not Included","Included","Client Authentication;Secure Email","Not Yet Included","","9B14E8F5F6EA167666E76DCD6BECC190861D5E8970B99A9470F0231236049704"
"LuxTrust","LuxTrust Global Root 2","Not Included","","Not Included","NotBefore","","Removed","","54455F7129C20B1447C418F997168F24C58FC5023BF5DA5BE2EB6E1DD8902ED5"
"Macao Post and Telecommunications Bureau","eSignTrust Root Certification Authority (G03)","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","0E30D04A94DCC423E26FDC4C24AFCF4923BD80D83B661B06A2F5856361560407"
"Microsec Ltd.","e-Szigno Root CA 2017","Not Included","","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Included","Websites;Email","BEB00B30839B9BC32C32E4447905950641F26421B15ED089198B518AE2EA1B99"
